Position,Height,Weight,Year
Forward,188,108,2018
Forward,175,106,2018
Forward,185,105,2018
Forward,191,109,2018
Forward,191,107,2018
Forward,183,101,2018
Forward,185,114,2018
Forward,191,112,2018
Forward,193,112,2018
Back,183,95,2018
Back,191,110,2018
Back,188,97,2018
Back,178,96,2018
Back,191,108,2018
Back,183,86,2018
Back,180,86,2018
Back,180,92,2018
Back,185,95,2018
Back,183,93,2018
Back,188,92,2018
Back,191,93,2018
Back,180,90,2018
Forward,183,107,2018
Forward,180,105,2018
Forward,185,111,2018
Forward,183,105,2018
Forward,203,121,2018
Forward,203,121,2018
Forward,206,117,2018
Forward,193,112,2018
Forward,198,113,2018
Forward,180,121,2012
Forward,175,117,2012
Forward,180,115,2012
Forward,188,120,2012
Forward,185,117,2012
Forward,183,112,2012
Forward,188,113,2012
Forward,185,108,2012
Forward,180,110,2012
Forward,183,106,2012
Forward,183,100,2012
Forward,198,114,2012
Forward,198,113,2012
Forward,198,110,2012
Forward,198,108,2012
Forward,198,108,2012
Forward,183,108,2012
Forward,185,107,2012
Forward,188,108,2012
Forward,191,109,2012
Forward,191,108,2012
Forward,193,109,2012
Forward,185,101,2012
Forward,185,101,2012
Forward,196,102,2012
Forward,191,103,2012
Back,188,94,2012
Back,175,83,2012
Back,175,80,2012
Back,170,72,2012
Back,180,91,2012
Back,180,90,2012
Back,183,85,2012
Back,185,95,2012
Back,188,94,2012
Back,178,89,2012
Back,185,101,2012
Back,193,104,2012
Back,185,96,2012
Back,178,90,2012
Back,183,92,2012
Back,183,88,2012
Back,191,100,2012
Back,180,91,2012
Back,188,95,2012
Back,178,84,2012
Forward,188,121,2018
Forward,183,116,2018
Forward,183,111,2018
Forward,185,118,2018
Forward,178,110,2018
Forward,188,120,2018
Forward,183,120,2018
Forward,196,122,2018
Back,173,83,2018
Back,178,82,2018
Back,173,93,2018
Back,188,93,2018
Back,175,80,2018
Back,178,87,2018
Back,178,90,2018
Back,180,90,2018
Back,185,93,2018
Back,188,97,2018
